Op,FName,Index,GMS v12,,GMS v48,,GMS v61,,GMS v72,,GMS v79,,GMS v83,,GMS v87,,GMS v92,,GMS v95,,GMS v111,,JMS v185
LOGIN_STATUS,CLogin::OnCheckPasswordResult,1,0x001,,0x000,,0x000,,0x000,,0x000,0,0x000,0,0x000,0,0x000,0,0x000,0,0x000,0,0x000
GUEST_ID_LOGIN,CLogin::OnGuestIDLoginResult,,0x000,,0x000,,0x000,,0x000,,0x000,1,0x001,1,0x001,1,0x001,1,0x001,1,0x001,1,0x001
ACCOUNT_INFO,CLogin::OnAccountInfoResult,,0x000,,0x000,,0x000,,0x000,,0x000,2,0x002,2,0x002,2,0x002,2,0x002,2,0x002,,0x000
SERVERSTATUS,CLogin::OnCheckUserLimitResult,2,0x002,,0x000,,0x000,,0x000,,0x000,3,0x003,3,0x003,3,0x003,3,0x003,3,0x003,,0x000
GENDER_DONE,CLogin::OnSetAccountResult,3,0x003,,0x000,,0x000,,0x000,,0x000,4,0x004,4,0x004,4,0x004,4,0x004,4,0x004,,0x000
CONFIRM_EULA_RESULT,CLogin::OnConfirmEULAResult,4,0x004,,0x000,,0x000,,0x000,,0x000,5,0x005,5,0x005,5,0x005,5,0x005,5,0x005,,0x000
CHECK_PINCODE,CLogin::OnCheckPinCodeResult,6,0x006,,0x000,,0x000,,0x000,,0x000,6,0x006,6,0x006,6,0x006,6,0x006,6,0x006,,0x000
UPDATE_PINCODE,CLogin::OnUpdatePinCodeResult,7,0x007,,0x000,,0x000,,0x000,,0x000,7,0x007,7,0x007,7,0x007,7,0x007,7,0x007,,0x000
VIEW_ALL_CHAR,CLogin::OnViewAllCharResult,,0x000,,0x000,,0x000,,0x000,,0x000,8,0x008,8,0x008,8,0x008,8,0x008,8,0x008,20,0x014
SELECT_CHARACTER_BY_VAC,CLogin::OnSelectCharacterByVACResult,,0x000,,0x000,,0x000,,0x000,,0x000,9,0x009,9,0x009,9,0x009,9,0x009,9,0x009,,0x000
WORLD_INFORMATION,CLogin::OnWorldInformation,8,0x008,,0x000,,0x000,,0x000,,0x000,10,0x00A,10,0x00A,10,0x00A,10,0x00A,10,0x00A,2,0x002
CHARLIST,CLogin::OnSelectWorldResult,9,0x009,,0x000,,0x000,,0x000,,0x000,11,0x00B,11,0x00B,11,0x00B,11,0x00B,11,0x00B,3,0x003
SERVER_IP,CLogin::OnSelectCharacterResult,10,0x00A,,0x000,,0x000,,0x000,,0x000,12,0x00C,12,0x00C,12,0x00C,12,0x00C,12,0x00C,4,0x004
CHAR_NAME_RESPONSE,CLogin::OnCheckDuplicatedIDResult,11,0x00B,,0x000,,0x000,,0x000,,0x000,13,0x00D,13,0x00D,13,0x00D,13,0x00D,13,0x00D,5,0x005
ADD_NEW_CHAR_ENTRY,CLogin::OnCreateNewCharacterResult,12,0x00C,,0x000,,0x000,,0x000,,0x000,14,0x00E,14,0x00E,14,0x00E,14,0x00E,14,0x00E,6,0x006
DELETE_CHAR_RESPONSE,CLogin::OnDeleteCharacterResult,13,0x00D,,0x000,,0x000,,0x000,,0x000,15,0x00F,15,0x00F,15,0x00F,15,0x00F,15,0x00F,7,0x007
CHANGE_CHANNEL,CClientSocket::OnMigrateCommand,14,0x00E,,0x000,,0x000,,0x000,,0x000,16,0x010,16,0x010,16,0x010,16,0x010,16,0x010,8,0x008
PING,CClientSocket::OnAliveReq,15,0x00F,,0x000,,0x000,,0x000,,0x000,17,0x011,17,0x011,17,0x011,17,0x011,17,0x011,9,0x009
KOREAN_INTERNET_CAFE_SHIT,CClientSocket::OnAuthenCodeChanged,0,0x000,,0x000,,0x000,,0x000,,0x000,18,0x012,18,0x012,18,0x012,18,0x012,18,0x012,,0x000
,CClientSocket::OnAuthenMessage,0,0x000,,0x000,,0x000,,0x000,,0x000,19,0x013,19,0x013,19,0x013,19,0x013,19,0x013,,0x000
CHANNEL_SELECTED,CSecurityClient::OnPacket,0,0x000,,0x000,,0x000,,0x000,,0x000,20,0x014,20,0x014,20,0x014,20,0x014,20,0x014,,0x000
,,0,0x000,,0x000,,0x000,,0x000,,0x000,0,0x000,0,0x000,21,0x015,0,0x000,,0x000,0,0x000
,,0,0x000,,0x000,,0x000,,0x000,,0x000,0,0x000,0,0x000,22,0x016,0,0x000,,0x000,0,0x000
HACKSHIELD_REQUEST,CLogin::OnEnableSPWResult,0,0x000,,0x000,,0x000,,0x000,,0x000,21,0x015,21,0x015,23,0x017,21,0x015,,0x000,,0x000
RELOG_RESPONSE,,0,0x000,,0x000,,0x000,,0x000,,0x000,22,0x016,22,0x016,0,0x000,22,0x016,,0x000,,0x000
