region,major,minor,domain,identityName,released,meymink
gms,48,1,job,GM,true,"meymink README.md line ~4674-4680 'v0.05 (Jul 14, 2005) - GM Events' (earliest explicit GM mention; GM/SuperGM tooling predates the game's public patch-log granularity)"
gms,48,1,job,SuperGM,true,"meymink README.md line ~4674-4680 'v0.05 (Jul 14, 2005) - GM Events' (earliest explicit GM mention; GM/SuperGM tooling predates the game's public patch-log granularity)"
gms,61,1,job,GM,true,"meymink README.md line ~4674-4680 'v0.05 (Jul 14, 2005) - GM Events' (earliest explicit GM mention; GM/SuperGM tooling predates the game's public patch-log granularity)"
gms,61,1,job,SuperGM,true,"meymink README.md line ~4674-4680 'v0.05 (Jul 14, 2005) - GM Events' (earliest explicit GM mention; GM/SuperGM tooling predates the game's public patch-log granularity)"
gms,72,1,job,GM,true,"meymink README.md line ~4674-4680 'v0.05 (Jul 14, 2005) - GM Events' (earliest explicit GM mention; GM/SuperGM tooling predates the game's public patch-log granularity)"
gms,72,1,job,SuperGM,true,"meymink README.md line ~4674-4680 'v0.05 (Jul 14, 2005) - GM Events' (earliest explicit GM mention; GM/SuperGM tooling predates the game's public patch-log granularity)"
gms,79,1,job,GM,true,"meymink README.md line ~4674-4680 'v0.05 (Jul 14, 2005) - GM Events' (earliest explicit GM mention; GM/SuperGM tooling predates the game's public patch-log granularity)"
gms,79,1,job,SuperGM,true,"meymink README.md line ~4674-4680 'v0.05 (Jul 14, 2005) - GM Events' (earliest explicit GM mention; GM/SuperGM tooling predates the game's public patch-log granularity)"
gms,83,1,job,GM,true,"meymink README.md line ~4674-4680 'v0.05 (Jul 14, 2005) - GM Events' (earliest explicit GM mention; GM/SuperGM tooling predates the game's public patch-log granularity)"
gms,83,1,job,SuperGM,true,"meymink README.md line ~4674-4680 'v0.05 (Jul 14, 2005) - GM Events' (earliest explicit GM mention; GM/SuperGM tooling predates the game's public patch-log granularity)"
gms,84,1,job,GM,true,"meymink README.md line ~4674-4680 'v0.05 (Jul 14, 2005) - GM Events' (earliest explicit GM mention; GM/SuperGM tooling predates the game's public patch-log granularity)"
gms,84,1,job,SuperGM,true,"meymink README.md line ~4674-4680 'v0.05 (Jul 14, 2005) - GM Events' (earliest explicit GM mention; GM/SuperGM tooling predates the game's public patch-log granularity)"
gms,87,1,job,GM,true,"meymink README.md line ~4674-4680 'v0.05 (Jul 14, 2005) - GM Events' (earliest explicit GM mention; GM/SuperGM tooling predates the game's public patch-log granularity)"
gms,87,1,job,SuperGM,true,"meymink README.md line ~4674-4680 'v0.05 (Jul 14, 2005) - GM Events' (earliest explicit GM mention; GM/SuperGM tooling predates the game's public patch-log granularity)"
gms,92,1,job,GM,true,"meymink README.md line ~4674-4680 'v0.05 (Jul 14, 2005) - GM Events' (earliest explicit GM mention; GM/SuperGM tooling predates the game's public patch-log granularity)"
gms,92,1,job,SuperGM,true,"meymink README.md line ~4674-4680 'v0.05 (Jul 14, 2005) - GM Events' (earliest explicit GM mention; GM/SuperGM tooling predates the game's public patch-log granularity)"
gms,95,1,job,GM,true,"meymink README.md line ~4674-4680 'v0.05 (Jul 14, 2005) - GM Events' (earliest explicit GM mention; GM/SuperGM tooling predates the game's public patch-log granularity)"
gms,95,1,job,SuperGM,true,"meymink README.md line ~4674-4680 'v0.05 (Jul 14, 2005) - GM Events' (earliest explicit GM mention; GM/SuperGM tooling predates the game's public patch-log granularity)"
jms,185,1,job,GM,true,"meymink README.md line ~4674-4680 'v0.05 (Jul 14, 2005) - GM Events' (earliest explicit GM mention; GM/SuperGM tooling predates the game's public patch-log granularity) [meymink is a GMS-only patch log; JMS v185 release timing for this identity is NOT independently confirmed from meymink -- carried forward from the GMS anchor only as a cross-region reference point]"
