region,major,minor,domain,wireId,identityName,evidence
gms,48,1,job,500,GM,WZ atlas-data GET /api/data/skills/{id} tenant=e1f06ae2-80c1-47f7-bb6f-38a9f50d23dd region=GMS major=48 minor=1: 5001000='Haste (Normal)'; 5001001='Super Dragon Roar'; 5001002='Teleport'
gms,61,1,job,500,Pirate (unreleased WZ stub),WZ atlas-data GET /api/data/skills/{id} tenant=0d250dc9-64c4-45ae-8bc2-fc0a9cdb5578 region=GMS major=61 minor=1: 5001001='스트레이트/Straight'; 5001002='써머솔트 킥/Somersault Kick'; 5001003='더블 파이어/Double Fire'; 5001005='대쉬/Dash' (untranslated Korean placeholder names; meymink v0.61 'Pre Pirate Quests')
gms,72,1,job,500,Pirate,WZ atlas-data GET /api/data/skills/{id} tenant=48d415ca-59de-4953-9aed-0c4156a09bc9 region=GMS major=72 minor=1: 5000000='Bullet Time'; 5001001='Flash Fist'; 5001002='Sommersault Kick'; 5001003='Double Shot'; 5001005='Dash'
gms,48,1,job,510,SuperGM,WZ atlas-data GET /api/data/skills/{id} tenant=e1f06ae2-80c1-47f7-bb6f-38a9f50d23dd region=GMS major=48 minor=1: 5101000='Heal + Dispel'; 5101001='Haste (Super)'; 5101002='Holy Symbol'; 5101003='Bless'; 5101004='Hide'; 5101005='Resurrection'
gms,61,1,job,510,Brawler (unreleased WZ stub),WZ atlas-data GET /api/data/skills/{id} tenant=0d250dc9-64c4-45ae-8bc2-fc0a9cdb5578 region=GMS major=61 minor=1: 5101002='백스핀 블로우/Backspin Blow'; 5101003='더블 어퍼/Double Uppercut'; 5101004='스크류 펀치/Screw Punch'; 5101005='MP 리커버리/MP Recovery' (untranslated Korean placeholder names)
gms,72,1,job,510,Brawler,WZ atlas-data GET /api/data/skills/{id} tenant=48d415ca-59de-4953-9aed-0c4156a09bc9 region=GMS major=72 minor=1: 5100000='Improve MaxHP'; 5100001='Knuckler Mastery'; 5101002='Backspin Blow'; 5101003='Double Uppercut'; 5101004='Corkscrew Blow'; 5101005='MP Recovery'; 5101006='Knuckler Booster'; 5101007='Oak Barrel'
gms,61,1,job,900,GM,"WZ atlas-data GET /api/data/skills/{id} tenant=0d250dc9-64c4-45ae-8bc2-fc0a9cdb5578 region=GMS major=61 minor=1: 9001000='Haste (Normal)'; 9001001='Super Dragon Roar'; 9001002='Teleport' (job 900/910 absent at v48 (37 jobs total, max job id 510); first appears v61 (44 jobs total))"
gms,72,1,job,900,GM,WZ atlas-data GET /api/data/skills/{id} tenant=48d415ca-59de-4953-9aed-0c4156a09bc9 region=GMS major=72 minor=1: 9001000='Haste (Normal)'; 9001001='Super Dragon Roar'; 9001002='Teleport'
gms,61,1,job,910,SuperGM,WZ atlas-data GET /api/data/skills/{id} tenant=0d250dc9-64c4-45ae-8bc2-fc0a9cdb5578 region=GMS major=61 minor=1: 9101000='Heal + Dispel'; 9101004='Hide'; 9101005='Resurrection'; 9101006='Super Dragon Roar'; 9101007='Teleport'; 9101008='Hyper Body' (910 roster is 510's roster (500/510 GM/SuperGM skills) plus 3 new additions)
gms,72,1,job,910,SuperGM,WZ atlas-data GET /api/data/skills/{id} tenant=48d415ca-59de-4953-9aed-0c4156a09bc9 region=GMS major=72 minor=1: 9101000='Heal + Dispel'; 9101004='Hide'; 9101008='Hyper Body'
