ts	kind	unit	agent_type	model	turns	tool_calls	tool_result_bytes	return_bytes	status	commit	verdict	caused_fix	artifact	context_tokens
2026-08-21T13:07:44Z	agent	Task 1	atlas-implementer	sonnet	-	-	-	-	DONE	8dcf10ba1	-	-	-	-
2026-08-21T13:07:45Z	agent	Task 3	atlas-implementer	sonnet	-	-	-	-	DONE	253764d3c	-	-	-	-
2026-08-21T13:09:23Z	agent	Task 3	atlas-reviewer	sonnet	-	-	-	-	DONE	253764d3c	APPROVED	no	-	-
2026-08-21T13:12:28Z	agent	Task 1	atlas-reviewer	sonnet	-	-	-	-	DONE	8dcf10ba1	APPROVED	no	-	-
2026-08-21T13:15:01Z	agent	Task 2	atlas-implementer	sonnet	-	-	-	-	DONE	9fab72cbd	-	-	-	-
2026-08-21T13:15:52Z	agent	Task 4	atlas-implementer	sonnet	-	-	-	-	DONE	a9b2cd460	-	-	-	-
2026-08-21T13:17:03Z	agent	Task 2	atlas-reviewer	sonnet	-	-	-	-	DONE	9fab72cbd	APPROVED	no	-	-
2026-08-21T13:17:52Z	agent	Task 4	atlas-reviewer	sonnet	-	-	-	-	DONE	a9b2cd460	APPROVED	no	-	-
2026-08-21T13:28:20Z	agent	branch	plan-adherence-reviewer	sonnet	-	-	-	-	DONE	072017280	APPROVED	no	docs/tasks/task-256-zombify-healing-consequences/audit.md	-
2026-08-21T13:40:59Z	agent	branch	backend-guidelines-reviewer	sonnet	-	-	-	-	DONE	072017280	CHANGES_REQUIRED	yes	docs/tasks/task-256-zombify-healing-consequences/backend-audit/audit.md	-
2026-08-21T13:44:27Z	agent	fix EXT-02	atlas-implementer	sonnet	-	-	-	-	DONE	48ed1a885	-	-	-	-
2026-08-21T13:44:32Z	agent	fix EXT-02	atlas-reviewer	sonnet	-	-	-	-	DONE	48ed1a885	APPROVED	no	.superpowers/sdd/plan/fix-ext02-review.md	-
2026-08-26T15:07:46Z	agent	bug-disease-command-emits-nonexistent-zombify-stat	atlas-implementer	sonnet	-	-	-	-	DONE	49465ebac	-	-	-	-
2026-08-26T15:07:47Z	agent	bug-disease-command-emits-nonexistent-zombify-stat	atlas-reviewer	sonnet	-	-	-	-	DONE	49465ebac	APPROVED	no	-	-
2026-08-26T18:54:34Z	agent	bug-heal-party-xp-magnitude	task-implementer	sonnet	-	-	-	-	DONE	b9904f7f6	-	-	-	-
2026-08-26T18:57:03Z	agent	bug-heal-party-xp-magnitude	task-reviewer	sonnet	-	-	-	-	DONE	b9904f7f6	APPROVED_WITH_FINDINGS	no	-	-
2026-08-26T19:08:38Z	agent	bug-zombify-encoder	task-implementer	sonnet	-	-	-	-	DONE	2e91e814d	-	-	-	-
2026-08-26T19:08:38Z	agent	bug-zombify-encoder	task-reviewer	sonnet	-	-	-	-	DONE	2e91e814d	APPROVED_WITH_FINDINGS	no	-	-
