ts	kind	unit	agent_type	model	turns	tool_calls	tool_result_bytes	return_bytes	status	commit	verdict	caused_fix	artifact	context_tokens
2026-08-27T18:34:42Z	agent	Task 1	task-implementer	sonnet	-	-	-	-	DONE	218a048a5	-	-	-	-
2026-08-27T18:37:29Z	agent	Task 1	task-reviewer	sonnet	-	-	-	-	DONE	218a048a5	APPROVED_WITH_FINDINGS	yes	-	-
2026-08-27T18:38:18Z	agent	Task 2	task-implementer	sonnet	-	-	-	-	DONE	f157d863e	-	-	-	-
2026-08-27T18:39:18Z	agent	Task 2	task-reviewer	sonnet	-	-	-	-	DONE	f157d863e	APPROVED	no	-	-
2026-08-27T18:42:32Z	agent	Task 1	task-implementer	sonnet	-	-	-	-	DONE	602afa07b	-	-	-	-
2026-08-27T18:42:52Z	agent	Task 1	task-reviewer	sonnet	-	-	-	-	DONE	602afa07b	APPROVED	no	-	-
2026-08-27T18:46:00Z	agent	Task 3	task-implementer	sonnet	-	-	-	-	DONE	1931a4293	-	-	-	-
2026-08-27T18:47:13Z	agent	Task 3	task-reviewer	sonnet	-	-	-	-	DONE	1931a4293	APPROVED	no	-	-
2026-08-27T18:51:28Z	agent	Task 4	task-implementer	sonnet	-	-	-	-	DONE	1fcecd776	-	-	-	-
2026-08-27T18:54:17Z	agent	Task 4	task-reviewer	sonnet	-	-	-	-	DONE	1fcecd776	APPROVED	no	-	-
