map_id	total_spawn_points	one_time_points	class
103000804	10	10	all-one-time
103040430	1	1	all-one-time
103040431	1	1	all-one-time
103040432	1	1	all-one-time
103040433	1	1	all-one-time
103040434	1	1	all-one-time
103040435	1	1	all-one-time
103040436	1	1	all-one-time
103040437	1	1	all-one-time
103040438	1	1	all-one-time
103040439	1	1	all-one-time
103040460	1	1	all-one-time
103040461	1	1	all-one-time
103040462	1	1	all-one-time
103040463	1	1	all-one-time
103040464	1	1	all-one-time
103040465	1	1	all-one-time
103040466	1	1	all-one-time
103040467	1	1	all-one-time
103040468	1	1	all-one-time
103040469	1	1	all-one-time
108000500	15	9	mixed
108000501	15	9	mixed
108000502	15	9	mixed
108000503	15	9	mixed
108010101	1	1	all-one-time
108010201	1	1	all-one-time
108010301	1	1	all-one-time
108010401	1	1	all-one-time
108010501	1	1	all-one-time
108010700	1	1	all-one-time
108010702	1	1	all-one-time
209080000	1	1	all-one-time
240050100	6	6	all-one-time
240050101	7	7	all-one-time
240050102	7	7	all-one-time
240050103	7	7	all-one-time
240050104	7	7	all-one-time
240050105	5	5	all-one-time
240050300	21	6	mixed
240050310	8	8	all-one-time
240070010	1	1	all-one-time
240070011	1	1	all-one-time
240070012	1	1	all-one-time
240070013	1	1	all-one-time
240070014	1	1	all-one-time
240070020	1	1	all-one-time
240070021	1	1	all-one-time
240070022	1	1	all-one-time
240070023	1	1	all-one-time
240070024	1	1	all-one-time
240070030	1	1	all-one-time
240070031	1	1	all-one-time
240070032	1	1	all-one-time
240070033	1	1	all-one-time
240070034	1	1	all-one-time
240070040	1	1	all-one-time
240070041	1	1	all-one-time
240070042	1	1	all-one-time
240070043	1	1	all-one-time
240070044	1	1	all-one-time
240070050	1	1	all-one-time
240070051	1	1	all-one-time
240070052	1	1	all-one-time
240070053	1	1	all-one-time
240070054	1	1	all-one-time
240070060	1	1	all-one-time
240070061	1	1	all-one-time
240070062	1	1	all-one-time
240070063	1	1	all-one-time
240070064	1	1	all-one-time
240070203	1	1	all-one-time
240070204	1	1	all-one-time
240070205	1	1	all-one-time
240070206	1	1	all-one-time
240070207	1	1	all-one-time
240070208	1	1	all-one-time
240070209	1	1	all-one-time
240070303	1	1	all-one-time
240070304	1	1	all-one-time
240070305	1	1	all-one-time
240070306	1	1	all-one-time
240070307	1	1	all-one-time
240070308	1	1	all-one-time
240070309	1	1	all-one-time
240070403	1	1	all-one-time
240070404	1	1	all-one-time
240070405	1	1	all-one-time
240070406	1	1	all-one-time
240070407	1	1	all-one-time
240070408	1	1	all-one-time
240070409	1	1	all-one-time
240070503	1	1	all-one-time
240070504	1	1	all-one-time
240070505	1	1	all-one-time
240070506	1	1	all-one-time
240070507	1	1	all-one-time
240070508	1	1	all-one-time
240070509	1	1	all-one-time
240070603	1	1	all-one-time
240070604	1	1	all-one-time
240070605	1	1	all-one-time
240070606	1	1	all-one-time
240070607	1	1	all-one-time
240070608	1	1	all-one-time
240070609	1	1	all-one-time
270050100	5	5	all-one-time
600020300	64	0	hidden-only
610030510	21	21	all-one-time
610030520	24	24	all-one-time
610030521	22	22	all-one-time
610030522	15	15	all-one-time
800020130	17	0	hidden-only
910300000	6	6	all-one-time
910500200	7	7	all-one-time
910520000	1	1	all-one-time
910520001	1	1	all-one-time
910520002	1	1	all-one-time
910520003	1	1	all-one-time
910520004	1	1	all-one-time
912010000	1	1	all-one-time
912010100	1	1	all-one-time
913010000	1	1	all-one-time
913010100	1	1	all-one-time
913010200	1	1	all-one-time
913010300	1	1	all-one-time
913020000	1	1	all-one-time
913020100	1	1	all-one-time
913020200	1	1	all-one-time
913020300	1	1	all-one-time
914020000	1	1	all-one-time
914030000	30	30	all-one-time
920010100	4	4	all-one-time
920010200	30	30	all-one-time
920010300	1	1	all-one-time
920010601	10	10	all-one-time
920010602	10	10	all-one-time
920010603	10	10	all-one-time
920010800	9	9	all-one-time
920010910	8	8	all-one-time
920010920	10	10	all-one-time
920010930	9	9	all-one-time
920011000	19	19	all-one-time
921100300	9	1	mixed
922010100	25	25	all-one-time
922010300	8	8	all-one-time
922010401	1	1	all-one-time
922010402	1	1	all-one-time
922010403	1	1	all-one-time
922010404	2	2	all-one-time
922010405	1	1	all-one-time
922010500	2	2	all-one-time
922010506	7	7	all-one-time
922010700	3	3	all-one-time
922010900	1	1	all-one-time
922020100	2	2	all-one-time
922210000	11	11	all-one-time
922210100	12	8	mixed
922210200	15	9	mixed
922210400	11	11	all-one-time
922210500	12	8	mixed
922210600	15	9	mixed
922210700	11	11	all-one-time
922210800	12	8	mixed
922210900	15	9	mixed
922211000	15	9	mixed
922211100	11	11	all-one-time
922211200	12	8	mixed
922211300	15	9	mixed
922211400	11	11	all-one-time
922211500	12	8	mixed
922211600	15	9	mixed
922211700	11	11	all-one-time
922211800	12	8	mixed
922211900	15	9	mixed
922212000	11	11	all-one-time
922212100	12	8	mixed
922212200	15	9	mixed
922212300	11	11	all-one-time
922212400	12	8	mixed
922212500	15	9	mixed
922212600	11	11	all-one-time
922212700	12	8	mixed
922212800	15	9	mixed
922212900	11	11	all-one-time
922213000	12	8	mixed
922241000	6	5	mixed
922241001	6	5	mixed
922241002	6	5	mixed
922241003	6	5	mixed
922241004	6	5	mixed
922241005	6	5	mixed
922241006	6	5	mixed
922241007	6	5	mixed
922241008	6	5	mixed
922241009	6	5	mixed
922241010	6	5	mixed
922241011	6	5	mixed
922241012	6	5	mixed
922241013	6	5	mixed
922241014	6	5	mixed
922241015	6	5	mixed
922241016	6	5	mixed
922241017	6	5	mixed
922241018	6	5	mixed
922241019	6	5	mixed
923010000	5	1	mixed
925010000	2	2	all-one-time
925010100	6	6	all-one-time
925010200	6	6	all-one-time
925010300	6	1	mixed
925020010	1	1	all-one-time
925020011	1	1	all-one-time
925020012	1	1	all-one-time
925020013	1	1	all-one-time
925020014	1	1	all-one-time
925040001	1	1	all-one-time
925100000	26	26	all-one-time
925100201	48	48	all-one-time
925100301	48	48	all-one-time
925100400	35	21	mixed
926000000	1	1	all-one-time
926100001	42	42	all-one-time
926100401	3	1	mixed
926110001	42	42	all-one-time
926110401	3	1	mixed
926120400	9	5	mixed
926120401	11	5	mixed
926120402	9	5	mixed
926120403	11	5	mixed
926120404	9	5	mixed
926120405	11	5	mixed
926120406	9	5	mixed
926120407	11	5	mixed
926120408	9	5	mixed
926120409	11	5	mixed
930000100	50	50	all-one-time
930000400	20	20	all-one-time
970030100	1	1	all-one-time
970030101	1	1	all-one-time
970030102	1	1	all-one-time
970030103	1	1	all-one-time
970030104	1	1	all-one-time
970030105	1	1	all-one-time
970030106	1	1	all-one-time
970030107	1	1	all-one-time
970030108	1	1	all-one-time
970030109	1	1	all-one-time
970030110	1	1	all-one-time
970030111	1	1	all-one-time
970030200	1	1	all-one-time
970030201	1	1	all-one-time
970030202	1	1	all-one-time
970030203	1	1	all-one-time
970030204	1	1	all-one-time
970030205	1	1	all-one-time
970030206	1	1	all-one-time
970030207	1	1	all-one-time
970030208	1	1	all-one-time
