expression,level,expected
" 375+5*x",1,380
" 375+5*x",2,385
" 375+5*x",3,390
" 375+5*x",4,395
" 375+5*x",5,400
" 375+5*x",6,405
" 375+5*x",7,410
" 375+5*x",8,415
" 375+5*x",9,420
" 375+5*x",10,425
" 375+5*x",11,430
" 375+5*x",12,435
" 375+5*x",13,440
" 375+5*x",14,445
" 375+5*x",15,450
" 375+5*x",16,455
" 375+5*x",17,460
" 375+5*x",18,465
" 375+5*x",19,470
" 375+5*x",20,475
-1,1,-1
-1,2,-1
-1,3,-1
-1,4,-1
-1,5,-1
-1,6,-1
-1,7,-1
-1,8,-1
-1,9,-1
-1,10,-1
-1,11,-1
-1,12,-1
-1,13,-1
-1,14,-1
-1,15,-1
-1,16,-1
-1,17,-1
-1,18,-1
-1,19,-1
-1,20,-1
-1,21,-1
-1,22,-1
-1,23,-1
-1,24,-1
-1,25,-1
-1,26,-1
-1,27,-1
-1,28,-1
-1,29,-1
-1,30,-1
-1*x,1,-1
-1*x,2,-2
-1*x,3,-3
-1*x,4,-4
-1*x,5,-5
-1*x,6,-6
-1*x,7,-7
-1*x,8,-8
-1*x,9,-9
-1*x,10,-10
-1-1*u(x/10),1,-2
-1-1*u(x/10),2,-2
-1-1*u(x/10),3,-2
-1-1*u(x/10),4,-2
-1-1*u(x/10),5,-2
-1-1*u(x/10),6,-2
-1-1*u(x/10),7,-2
-1-1*u(x/10),8,-2
-1-1*u(x/10),9,-2
-1-1*u(x/10),10,-2
-1-1*u(x/10),11,-3
-1-1*u(x/10),12,-3
-1-1*u(x/10),13,-3
-1-1*u(x/10),14,-3
-1-1*u(x/10),15,-3
-1-1*u(x/10),16,-3
-1-1*u(x/10),17,-3
-1-1*u(x/10),18,-3
-1-1*u(x/10),19,-3
-1-1*u(x/10),20,-3
-10-1*x,1,-11
-10-1*x,2,-12
-10-1*x,3,-13
-10-1*x,4,-14
-10-1*x,5,-15
-10-1*x,6,-16
-10-1*x,7,-17
-10-1*x,8,-18
-10-1*x,9,-19
-10-1*x,10,-20
-10-1*x,11,-21
-10-1*x,12,-22
-10-1*x,13,-23
-10-1*x,14,-24
-10-1*x,15,-25
-10-1*x,16,-26
-10-1*x,17,-27
-10-1*x,18,-28
-10-1*x,19,-29
-10-1*x,20,-30
-100,1,-100
-100,2,-100
-100,3,-100
-100,4,-100
-100,5,-100
-100,6,-100
-100,7,-100
-100,8,-100
-100,9,-100
-100,10,-100
-100,11,-100
-100,12,-100
-100,13,-100
-100,14,-100
-100,15,-100
-100,16,-100
-100,17,-100
-100,18,-100
-100,19,-100
-100,20,-100
-2,1,-2
-2,2,-2
